18,24,17,29,20,12,27,18,27,31,37,25,28,27,33,18,21,23,20,25,23,19,15,26,28
19,22,25,21,16,13,22,17,19,22,25,24,28,26,29,23,23,30,36,35,27,24,27,34,23
20,19,18,14,17,12,23,26,20,32,62,59,64,51,49,57,60,60,54,53,61,37,51,49,23
21,23,32,22,26,21,22,30,24,30,28,35,41,32,35,25,27,28,24,38,30,18,33,25,35
22,23,21,21,10,16,21,15,21,28,30,20,27,32,36,36,32,28,28,50,36,32,29,25,25
23,23,16,48,34,39,39,41,46,45,44,39,46,42,28,33,28,48,32,34,43,38,33,29,27
24,27,40,24,32,35,37,46,42,33,40,51,34,31,40,26,25,40,34,34,41,29,32,29,21
25,17,19,27,16,21,21,20,12,19,21,24,22,19,28,20,28,30,25,28,18,11,24,24,25
26,12,7,21,11,13,12,17,18,15,20,21,17,24,24,32,21,16,35,19,26,21,25,26,14
27,11,14,32,35,23,29,30,30,40,43,34,40,21,41,38,28,41,24,30,26,25,32,29,27
28,11,16,19,20,12,13,18,19,20,14,24,16,20,26,21,17,18,13,30,29,27,26,23,17
29,11,19,15,13,11,7,23,21,24,18,23,29,25,31,29,20,21,33,26,34,18,32,26,35
30,21,36,35,35,31,35,29,35,23,44,40,46,35,36,31,36,28,30,28,25,27,34,29,33
31,20,24,24,27,23,38,34,37,47,34,46,38,42,45,42,37,31,35,20,35,26,34,32,33
